,target_activations,activations_means,activations_stds,emgSO_norm_mvc_means,emgSO_norm_mvc_stds,emgSO_norm_mmax_means,emgSO_norm_mmax_stds,emgMG_norm_mvc_means,emgMG_norm_mvc_stds,emgMG_norm_mmax_means,emgMG_norm_mmax_stds,emgLG_norm_mvc_means,emgLG_norm_mvc_stds,emgLG_norm_mmax_means,emgLG_norm_mmax_stds
0,1,1.1389615999103504,1.3875174948623346,6.595124436757092,3.4588102425882314,0.7161551679367025,0.3191311056668582,11.320116466991358,10.45805052268229,0.6864921560880444,0.31244542734997155,8.69733316247188,9.37920857543143,0.6252320846146391,0.2753047752408821
1,5,4.531371171616313,1.8423791681771842,12.143476829084186,10.931237921266156,1.1249269155610622,0.46014276044045477,12.016762042748883,12.525808170648956,0.7130293926310798,0.29157198913036503,9.689994491691683,10.927435456963588,0.6759925267409657,0.2648536613508864
2,10,9.513111607638159,3.3470909673055815,15.001108014215184,10.297345264582303,1.5151619492625872,0.907877656909907,13.827420319537786,11.543699154398626,0.8925204223191047,0.45762321461449185,10.79814908618555,9.910942021005122,0.8160441737549644,0.3135304428152183
3,15,16.36401295429021,4.2274484083531325,18.774529737631767,11.66577392172877,1.9908037190006282,0.8065872864647559,16.354324877138474,13.341467206465115,1.0760591899234502,0.576189428243658,12.66236662082428,10.050936550503561,0.9889940482499141,0.45706176612503063
4,25,28.977579264197164,7.250257012615398,28.44342449852105,16.167951087300455,3.2860328025566106,1.779920123308004,22.078778316372176,18.90600324987781,1.5456167280742994,1.0789814358846843,17.762181245406147,14.583478831791794,1.4184933954022185,0.8003674473868628
5,50,52.83187796871757,8.950723028818121,47.3043482486827,32.28512118805558,5.018686264946499,2.4996415369942224,33.95879096625632,25.047685260452138,2.4057917746686797,1.1493812126526166,28.453845432441472,17.667281227429264,2.4025003034949304,1.3751866568084243
6,75,73.72039621748308,8.52247707345855,61.31188700917801,34.51604602426722,6.934969696011749,3.8456611931198097,47.422261554374025,26.422958353228466,3.884769041701653,2.7004528177390337,49.308676995300765,38.51796195715711,4.064237021628022,2.1112735286952895
7,90,86.37989767789375,8.573111611660208,103.57461718564048,53.81652027355108,11.69163804823629,4.860093140096713,86.77769021050318,38.81366438163871,7.201392224423195,4.735113246585232,83.98871664299331,36.623604325204944,7.563032177069252,3.8162478053067312
8,95,91.81714829686162,5.304437244428641,101.82850372213139,44.154561763779725,12.497880943869228,6.440858873597815,96.20954097454693,44.51692013122881,7.969301151965587,5.118008648514238,97.09474253780276,37.12658582026318,8.854912971467302,3.9090485912447708
9,100,95.28313433940241,4.906112878326548,116.41441015711058,76.77196757412426,13.340325896141222,7.842467601483171,100.67924369739322,40.46379432551732,8.55289074078904,5.334996573323738,99.8817934884787,55.43558356486597,8.903369947621906,3.963667336250609
